FID,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,target_ele,image_date,edge,is_lowest_,area_m2,STATIC_BFE,Under_fld
809,11785_29.3022336_-94.779775_0_164.35.jpg,MAeHv69HDZ9MN5Lyu9V5oQ,11785,0.916016,502,509,328,1.777734317,1.015085883,16.12737199,-1.401934915,2.417020798,0.762648434,0.082153321,29.30223358,-94.77977497,29.30209073,-94.77974346,1.777734317,"[2019, 10]",Not_at_edge,Y,141.1959991,11,Y
820,11807_29.3022336_-94.779775_0_164.35.jpg,MAeHv69HDZ9MN5Lyu9V5oQ,11807,0.916016,502,509,328,1.777734317,1.015085883,16.12737199,-1.401934915,2.417020798,0.762648434,0.082153321,29.30223358,-94.77977497,29.30209073,-94.77974346,1.777734317,"[2019, 10]",Not_at_edge,Y,141.1959991,11,Y
12822,8973_29.2861772_-94.7976228_0_193.53.jpg,w5LDgcl3k7wJ8ap-9mK40Q,8973,0.866211,664,495,339,1.777933842,0.869553097,19.00387761,-1.444425575,2.313978672,0.908380745,0.193620788,29.2861772,-94.79762276,29.28602134,-94.79770425,1.777933842,"[2019, 10]",Not_at_edge,Y,183.8040009,-9999,Nodata
1205,12445_29.2978702_-94.7928659_0_357.53.jpg,LT6wPC-hkg8LWvhyBCpxNQ,12445,0.541992,38,484,332,1.778197879,1.059680617,19.81822524,-1.344369733,2.40405035,0.718517262,-0.236570162,29.2978702,-94.7928659,29.29804205,-94.79292221,1.778197879,"[2019, 1]",Not_at_edge,Y,118.5709991,11,Y
1403,12747_29.297274_-94.7797757_0_224.98.jpg,QiLcPEkSlWme7AVZ4ZYkxw,12747,0.30542,21,432,388,1.778314058,0.190632916,68.1950799,-2.260672235,2.451305151,1.587681142,-0.247422298,29.297274,-94.7797757,29.29674554,-94.78013514,1.778314058,"[2021, 3]",Not_at_edge,Y,1877.410034,-9999,Nodata
216,10429_29.3169933_-94.7707363_0_194.65.jpg,e9M1piAYaTjXzzVcZm_nOQ,10429,0.714355,402,522,409,1.778444636,0.959391214,25.74730937,-2.479122065,3.438513279,0.819053422,0.012559726,29.31699332,-94.77073635,29.31676934,-94.7708066,1.778444636,"[2018, 8]",Not_at_edge,Y,187.5180054,11,Y
996,12096_29.2998355_-94.7868959_0_73.82.jpg,nz6tSLiDltm78l-yCUBrkQ,12096,0.923828,561,536,316,1.778675101,1.048546847,13.32416602,-1.402549449,2.451096296,0.730128254,0.122885645,29.2998355,-94.7868959,29.29985459,-94.7867605,1.778675101,"[2021, 3]",Not_at_edge,Y,122.9380035,11,Y
999,12101_29.2998355_-94.7868959_0_73.82.jpg,nz6tSLiDltm78l-yCUBrkQ,12101,0.923828,561,536,316,1.778675101,1.048546847,13.32416602,-1.402549449,2.451096296,0.730128254,0.122885645,29.2998355,-94.78689586,29.29985459,-94.78676046,1.778675101,"[2021, 3]",Not_at_edge,Y,122.9380035,11,Y
2765,15144_29.289559_-94.7991407_0_358.74.jpg,krgSG0TnW0U8H0RxQP9cKw,15144,0.919922,172,494,337,1.778688034,0.921354173,18.72976134,-1.422296883,2.343651056,0.857333861,-0.146182471,29.289559,-94.7991407,29.2897256,-94.79917296,1.778688034,"[2021, 4]",Not_at_edge,Y,112.5319977,10,Y
12375,8260_29.289559_-94.7991407_0_358.74.jpg,krgSG0TnW0U8H0RxQP9cKw,8260,0.919922,172,494,337,1.778688034,0.921354173,18.72976134,-1.422296883,2.343651056,0.857333861,-0.146182471,29.289559,-94.7991407,29.2897256,-94.79917296,1.778688034,"[2021, 4]",Not_at_edge,Y,112.5319977,10,Y
3303,16078_29.2872101_-94.8009025_0_13.46.jpg,YlNgJIWZ_VXKBq_OqDMUKQ,16078,0.925781,382,493,351,1.778757718,0.878499006,20.48738349,-1.572531964,2.45103097,0.900258712,-0.001395478,29.2872101,-94.8009025,29.28738992,-94.80085371,1.778757718,"[2021, 4]",Not_at_edge,Y,133.3470001,10,Y
13317,9722_29.2803748_-94.8161928_0_132.83.jpg,PhHarKI17CjahgfjSOD9YA,9722,0.577637,105,469,362,1.778917909,0.8383759,27.69929593,-1.612621929,2.450997829,0.940542009,-0.19227662,29.2803748,-94.8161928,29.28024306,-94.81595058,1.778917909,"[2020, 3]",Not_at_edge,Y,291.8349915,-9999,Nodata
12126,7485_29.2936027_-94.8073419_0_223.18.jpg,HUL8K_cjvuAbFneD7ol3lQ,7485,0.44873,406,510,327,1.779039546,1.07195509,15.8992887,-1.397706384,2.469661474,0.707084456,0.015698925,29.2936027,-94.8073419,29.29349965,-94.80745573,1.779039546,"[2020, 2]",Not_at_edge,Y,112.9509964,11,Y
3168,15849_29.287802_-94.8023928_0_313.40.jpg,r9sR2gwl-9P_zM8LPPJYTg,15849,0.900879,218,536,347,1.779159948,0.920349069,15.49430673,-1.632593684,2.552942753,0.858810879,-0.114629821,29.28780199,-94.80239283,29.28788579,-94.80252046,1.779159948,"[2021, 4]",Not_at_edge,Y,243.9730072,10,Y
8338,26473_29.2603534_-94.8377854_0_343.82.jpg,QomWfXNHRZ3iGpnetrHSYA,26473,0.364258,540,546,388,1.7795785,0.293456421,18.52288744,-2.081394091,2.374850512,1.486122079,0.109116959,29.2603534,-94.8377854,29.26051801,-94.83781826,1.7795785,"[2021, 4]",Not_at_edge,Y,0,-9999,Nodata
4832,19062_29.279856_-94.8108697_0_194.34.jpg,kcYFWDJd7kSVUQOccZMn8w,19062,0.949219,468,498,354,1.77976577,0.797447023,20.23750959,-1.607088747,2.40453577,0.982318747,0.058546899,29.279856,-94.8108697,29.27968206,-94.810933,1.77976577,"[2019, 10]",Not_at_edge,Y,112.2529984,-9999,Nodata
4833,19063_29.279856_-94.8108697_0_194.34.jpg,kcYFWDJd7kSVUQOccZMn8w,19063,0.949219,468,498,354,1.77976577,0.797447023,20.23750959,-1.607088747,2.40453577,0.982318747,0.058546899,29.27985596,-94.81086974,29.27968202,-94.81093304,1.77976577,"[2019, 10]",Not_at_edge,Y,112.2529984,-9999,Nodata
2811,15218_29.2893182_-94.8253683_0_161.28.jpg,oWkToImZLctKWo2eJK8JTA,15218,0.898438,703,509,315,1.779953676,1.132597914,15.36408289,-1.31845046,2.451048374,0.647355762,0.219355035,29.2893182,-94.8253683,29.28918038,-94.82535136,1.779953676,"[2020, 3]",Not_at_edge,Y,99.8963013,11,Y
12690,8807_29.2868874_-94.8093433_0_133.38.jpg,enTeSy9XXKroDI3RdI1-Rg,8807,0.935547,533,514,340,1.779997802,0.934334667,16.81095898,-1.516671507,2.451006174,0.845663135,0.104287659,29.2868874,-94.8093433,29.28677232,-94.80923061,1.779997802,"[2021, 4]",Not_at_edge,Y,142.871994,10,Y
1985,13688_29.2934941_-94.787793_0_356.33.jpg,510w1_Hccc4cplq4lsfeKA,13688,0.847656,216,539,309,1.780313185,0.932998771,12.73484066,-1.376866942,2.309865713,0.847314415,-0.116351007,29.29349409,-94.78779302,29.29360712,-94.78781654,1.780313185,"[2019, 10]",Not_at_edge,Y,105.1429977,11,Y
5361,20039_29.2761085_-94.8438013_0_244.09.jpg,uEOuQ1SrlwbboRxRC0xSyA,20039,0.892578,588,537,323,1.780333184,1.000556072,13.73280374,-1.451356093,2.451912165,0.779777113,0.142081883,29.2761085,-94.8438013,29.27607069,-94.84393587,1.780333184,"[2020, 3]",Not_at_edge,Y,220.0529938,-9999,Nodata
1541,12972_29.2964234_-94.7875156_0_178.79.jpg,ohS_CmF1up4FbcpL19uySg,12972,0.935547,242,498,341,1.780351309,0.981531609,18.6194669,-1.47401334,2.455544949,0.7988197,-0.09807209,29.29642336,-94.78751562,29.29625657,-94.78749283,1.780351309,"[2019, 8]",Not_at_edge,Y,119.7320023,11,Y
3351,16145_29.2869236_-94.812856_0_312.43.jpg,AeTFGGTy02dk_qNuM8z2XQ,16145,0.466309,54,468,346,1.780541705,1.00222555,24.27109985,-1.402846662,2.405072212,0.778316155,-0.226323703,29.2869236,-94.812856,29.2870313,-94.81307348,1.780541705,"[2019, 10]",Not_at_edge,Y,109.8840027,10,Y
12041,723_29.2883353_-94.8324853_0_243.84.jpg,ngmQrBCuqnXgnp11ebJI-A,723,0.56543,555,552,398,1.780904454,1.258029611,19.02651775,-2.214548676,3.472578287,0.522874843,0.119447391,29.2883353,-94.8324853,29.28827852,-94.83267009,1.780904454,"[2016, 6]",Not_at_edge,Y,251.0420074,12,Y
5276,19875_29.2769634_-94.8455822_0_155.52.jpg,cW67mG9-A_KhwwDTnL474Q,19875,0.841797,643,499,321,1.780944404,1.128550723,16.60862188,-1.322918937,2.45146966,0.652393682,0.178796424,29.2769634,-94.8455822,29.27681816,-94.84554017,1.780944404,"[2020, 3]",Not_at_edge,Y,268.7000122,11,Y
4211,17922_29.2828259_-94.814136_0_147.47.jpg,ab4ySsxxkou57ZnbGV5Thw,17922,0.672363,394,436,369,1.780955494,0.875463453,43.4220674,-1.575532946,2.450996399,0.905492041,0.00697782,29.28282587,-94.81413601,29.28249412,-94.81389835,1.780955494,"[2021, 4]",Not_at_edge,Y,63.1898003,-9999,Nodata
13154,9475_29.2828259_-94.814136_0_147.47.jpg,ab4ySsxxkou57ZnbGV5Thw,9475,0.672363,394,436,369,1.780955494,0.875463453,43.4220674,-1.575532946,2.450996399,0.905492041,0.00697782,29.2828259,-94.814136,29.28249415,-94.81389834,1.780955494,"[2021, 4]",Not_at_edge,Y,63.1898003,-9999,Nodata
2922,15418_29.2889046_-94.8184595_0_191.74.jpg,CwbmWFV5AR-B3UCj2nA57w,15418,0.912109,612,540,300,1.781114453,1.101423964,12.32550256,-1.325020566,2.42644453,0.679690489,0.157772565,29.2889046,-94.8184595,29.28880063,-94.8185045,1.781114453,"[2020, 3]",Not_at_edge,Y,150.9589996,11,Y
12097,7401_29.2943164_-94.78833_0_177.61.jpg,xIQEotvhHK2FzcSplPtcGQ,7401,0.938965,454,500,323,1.781153743,0.951247714,16.45606301,-1.341860749,2.293108463,0.82990603,0.049154238,29.2943164,-94.78833,29.29416794,-94.78833126,1.781153743,"[2019, 10]",Not_at_edge,Y,100.310997,11,Y
12098,7402_29.2943164_-94.78833_0_177.61.jpg,xIQEotvhHK2FzcSplPtcGQ,7402,0.938965,454,500,323,1.781153743,0.951247714,16.45606301,-1.341860749,2.293108463,0.82990603,0.049154238,29.29431638,-94.78832997,29.29416792,-94.78833123,1.781153743,"[2019, 10]",Not_at_edge,Y,100.310997,11,Y
2693,14993_29.2898362_-94.8089729_0_358.57.jpg,nLKKM6UPFIiKxjQ4T3creg,14993,0.914062,204,502,328,1.782134539,1.028104183,16.85026406,-1.376671198,2.404775381,0.754030356,-0.124603419,29.2898362,-94.8089729,29.28998653,-94.80899874,1.782134539,"[2019, 10]",Not_at_edge,Y,130.0950012,10,Y
13309,9704_29.2802927_-94.8164964_0_132.75.jpg,Lt7K77AjUfX8nNtpvIIOMw,9704,0.934082,517,516,343,1.782599914,0.854442178,16.88906933,-1.548904599,2.403346777,0.928157736,0.092886084,29.2802927,-94.8164964,29.28017934,-94.81638027,1.782599914,"[2020, 3]",Not_at_edge,Y,131.477005,-9999,Nodata
