,FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,construction_index_2015,construction_index_1998,rsmeans_construction_index_2015,rsmeans_construction_index_2021,ENR_BCI_index_2015,ENR_BCI_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998,cost_2015,cost_2021_RSMeans,cost_2021_ENR_BCI,cost_2021_PCI_Family_house,is_residential
294,294,1147,403066,2965-0103-0001-001,200.6699982,1148_29.2843062_-94.8215958_0_88.58.jpg,ouI7IqMIybFZ4ttmhBrl9Q,1148,0.913086,160,546,365,3.123863191,0.650447816,16.26726835,-1.81690672,2.467354536,2.473415375,-0.154708764,29.2843062,-94.8215958,29.2843324,-94.82143108,2021,Not_at_edge,Y,T,10,N,200.6699982,2159.993884,3.123863191,10.24889498,10,N,0,-0.248894984,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
295,295,1152,403071,2965-0111-0005-000,184.1820068,1154_29.2847252_-94.8176019_0_132.70.jpg,viwTVbcoF826mEJkO583oQ,1154,0.533203,351,502,404,2.548042331,-0.093002524,29.6934699,-2.444291558,2.351289034,2.641044855,-0.022674261,29.2847252,-94.8176019,29.28454804,-94.81737268,2020,Not_at_edge,Y,T,10,Y,184.1820068,1982.518622,2.548042331,8.359718934,10,Y,1.640281066,1.640281066,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,33702.81657,61471.88665,70250.87507,64578.02894,70492.07717,Y
296,296,1155,403074,2965-0111-0001-001,109.2070007,1156_29.2843195_-94.8178227_0_103.27.jpg,m3Draq3gP6xDqEeRA7mlvg,1156,0.307373,96,552,290,3.645431472,1.120623304,11.36770325,-1.306665705,2.427289009,2.524808168,-0.197649542,29.2843195,-94.8178227,29.28431602,-94.81770578,2020,Not_at_edge,Y,T,10,N,109.2070007,1175.494372,3.645431472,11.96007701,10,N,0,-1.960077008,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
297,297,1156,403075,2965-0102-0008-000,129.4609985,1157_29.2844927_-94.822174_0_147.99.jpg,IeeDyDLs6CmEloIGOSVWSQ,1157,0.931152,502,482,333,3.610382561,1.111143116,19.46040513,-1.339800831,2.450943947,2.499239445,0.082153321,29.2844927,-94.822174,29.28433669,-94.82208214,2020,Not_at_edge,Y,T,10,N,129.4609985,1393.50659,3.610382561,11.84508714,10,N,0,-1.845087142,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
298,298,1162,403081,2965-0104-0023-002,188.5010071,1162_29.2841044_-94.8199628_0_329.50.jpg,TT32u-1bX3Q3EnSi4ADjTw,1162,0.898438,281,480,367,3.40625905,0.716886272,25.81104538,-1.742563258,2.45944953,2.689372778,-0.071401555,29.2841044,-94.8199628,29.2842961,-94.8201136,2020,Not_at_edge,Y,T,10,N,188.5010071,2029.007954,3.40625905,11.17539058,10,N,0,-1.175390584,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
299,299,1163,403082,2965-0112-0008-000,129.3220062,1164_29.2845148_-94.8184276_0_161.21.jpg,_ZK9QjS4ODVyagI3u226uA,1164,0.880371,227,488,304,3.945103673,1.227757243,15.81896516,-1.152162048,2.379919291,2.71734643,-0.108772214,29.2845148,-94.8184276,29.28438548,-94.81835874,2019,Not_at_edge,Y,T,10,N,129.3220062,1392.01049,3.945103673,12.94325352,10,N,0,-2.94325352,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
300,300,1157,403076,2965-0102-0007-000,47.1016998,1175_29.2844628_-94.8222865_0_132.89.jpg,dt9KEJ0lz504lL_4ufMRgg,1175,0.909668,460,530,377,3.030310688,0.530702648,19.04183496,-1.937125149,2.467827797,2.49960804,0.053677559,29.2844628,-94.8222865,29.28433929,-94.82215029,2020,Not_at_edge,Y,T,10,Y,47.1016998,506.9984771,3.030310688,9.941964199,10,Y,0.058035801,0.058035801,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,8618.974111,15720.48433,17965.57484,16514.83218,18027.25855,Y
301,301,1167,403086,2965-0112-0011-002,205.6880035,1168_29.2843195_-94.8178227_0_238.27.jpg,m3Draq3gP6xDqEeRA7mlvg,1168,0.91748,561,520,349,3.325724881,0.800916713,17.1422012,-1.626372296,2.427289009,2.524808168,0.122885645,29.28431953,-94.81782274,29.28425493,-94.81798303,2020,Not_at_edge,Y,T,10,N,205.6880035,2214.007243,3.325724881,10.91117087,10,N,0,-0.911170869,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
302,302,1168,403087,2965-0102-0012-001,169.548996,1169_29.2843926_-94.8216252_0_268.39.jpg,d-wYzHQWDG1oDEFj5ApVWg,1169,0.851562,404,600,374,3.070175893,0.560541875,12.87384908,-1.940179341,2.500721216,2.509634018,0.01395496,29.2843926,-94.8216252,29.28439096,-94.82175767,2021,Not_at_edge,Y,T,10,N,169.548996,1825.010204,3.070175893,10.07275555,10,N,0,-0.072755554,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
303,303,1169,403088,2965-0102-0010-002,145.0679932,1170_29.2845489_-94.8219659_0_161.99.jpg,lRkV-OCWtHnFEV4QlpfHPw,1170,0.533691,620,482,319,3.726101859,1.218111976,18.08825416,-1.232939974,2.45105195,2.507989883,0.163212442,29.2845489,-94.8219659,29.28438757,-94.82193788,2020,Not_at_edge,Y,T,10,N,145.0679932,1561.498883,3.726101859,12.22474363,10,N,0,-2.224743632,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
304,304,1170,403089,2965-0102-0010-001,149.2960052,1171_29.2842204_-94.8215668_0_283.56.jpg,#NAME?,1171,0.936523,124,484,306,3.742060584,1.28806321,16.60963688,-1.140450078,2.428513288,2.453997374,-0.179134239,29.2842204,-94.82156682,29.28422902,-94.82173747,2021,Not_at_edge,Y,T,10,N,149.2960052,1607.008826,3.742060584,12.27710165,10,N,0,-2.277101654,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
305,305,1173,403092,2965-0102-0004-000,174.0099945,1174_29.2844368_-94.8223866_0_193.59.jpg,S3J6jH3Wz3jkchayA99NdA,1174,0.304443,108,492,348,3.465681531,0.949534156,20.57408874,-1.53659632,2.486130476,2.516147375,-0.19025905,29.2844368,-94.8223866,29.28425139,-94.82239653,2020,Not_at_edge,Y,T,10,N,174.0099945,1873.027992,3.465681531,11.37034623,10,N,0,-1.37034623,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
306,306,1187,403106,2965-0112-0001-002,107.9069977,1188_29.2841214_-94.8189908_0_76.44.jpg,8RGYDi5YM4dCgmtGuOqQcA,1188,0.916992,261,511,258,3.964353753,1.424055768,11.5411242,-1.027034806,2.451090574,2.540297985,-0.085617524,29.2841214,-94.8189908,29.28415438,-94.81887814,2020,Not_at_edge,Y,T,10,N,107.9069977,1161.501257,3.964353753,13.00640995,10,N,0,-3.006409951,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
307,307,1188,403107,2965-0112-0001-001,108.7429962,1184_29.2840262_-94.8189613_0_73.41.jpg,2SVRePA1btxzB_J2XTAMLQ,1184,0.572754,293,666,509,1.384511518,-1.181785059,18.56690739,-3.646243525,2.464458466,2.566296577,-0.063065985,29.2840262,-94.8189613,29.28408405,-94.81878198,2020,Not_at_edge,Y,T,10,Y,108.7429962,1170.49987,1.384511518,4.542360623,10,Y,5.457639377,5.457639377,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,22933.87261,41829.98815,47803.85688,43943.63558,47967.98851,Y
308,308,1192,403111,2965-0111-0022-002,60.2016983,1192_29.283858_-94.8173102_0_312.36.jpg,4cRbq6zYlRdmd7IBQ28vFw,1192,0.925781,576,571,398,2.960469001,0.244591706,16.96807374,-2.206009633,2.450601339,2.715877295,0.133866915,29.283858,-94.8173102,29.28397532,-94.81742237,2021,Not_at_edge,Y,T,10,Y,60.2016983,648.0056874,2.960469001,9.712824806,10,Y,0.287175194,0.287175194,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,11016.09669,20092.69004,22962.18865,21107.96316,23041.02793,Y
309,309,1193,403112,2965-0111-0022-001,163.9750061,1194_29.2841464_-94.8177648_0_58.33.jpg,eEaEfzg4zZB2vNH38IaA7w,1194,0.927734,614,364,181,5.138581895,2.564356469,16.10252416,0.221856736,2.342499733,2.574225426,0.159813444,29.2841464,-94.8177648,29.28420203,-94.81761172,2020,Not_at_edge,Y,T,10,N,163.9750061,1765.012276,5.138581895,16.85886448,10,N,0,-6.858864485,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
310,310,1194,403113,2965-0111-0022-002,155.0099945,1195_29.2840602_-94.8177355_0_88.06.jpg,c0yK_nkog_DiPvTwFpvr-g,1195,0.727051,201,576,379,3.061092821,0.478848902,14.88749073,-1.978480371,2.457329273,2.582243919,-0.12700706,29.2840602,-94.8177355,29.28408171,-94.81758427,2020,Not_at_edge,Y,T,10,N,155.0099945,1668.513694,3.061092821,10.04295545,10,N,0,-0.042955449,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
311,311,1209,403128,2965-0101-0008-000,360.6069946,1210_29.2842232_-94.8231963_0_177.18.jpg,Im1oOy_oaY3ucGQMrdCqtg,1210,0.606934,412,535,379,3.004212324,0.47291011,18.65245804,-1.977947052,2.450857162,2.531302214,0.019884032,29.2842232,-94.8231963,29.28405499,-94.82319067,2020,Not_at_edge,Y,T,10,Y,360.6069946,3881.541386,3.004212324,9.856339646,10,Y,0.143660354,0.143660354,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,65986.20355,120354.8201,137543.0606,126436.2862,138015.3063,Y
312,312,1214,403133,2965-0102-0017-000,174.0079956,1215_29.2835957_-94.8218786_0_357.84.jpg,2e_Rg1HtqBRWyHTb8sWZ3w,1215,0.907715,271,450,310,4.163886561,1.50158669,20.84451788,-0.957003818,2.458590508,2.662299871,-0.078686607,29.2835957,-94.8218786,29.28378249,-94.82190351,2019,Not_at_edge,Y,T,10,N,174.0079956,1873.006476,4.163886561,13.66104515,10,N,0,-3.661045148,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
313,313,1219,403138,2965-0112-0017-000,217.3000031,1220_29.2836336_-94.8181537_0_328.33.jpg,2i5Xy056ZcFVs93etpZhSg,1220,0.939941,650,370,207,5.437149306,2.674839755,18.26704305,0.175430079,2.499409676,2.762309551,0.184196464,29.2836336,-94.8181537,29.28378734,-94.81822142,2021,Not_at_edge,Y,T,10,N,217.3000031,2338.997767,5.437149306,17.83841636,10,N,0,-7.838416358,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
314,314,1220,403139,2965-0112-0019-000,135.5,1221_29.2836072_-94.8182522_0_342.99.jpg,O_qYQ-JN4wP4FaNYXiKWDg,1221,0.853516,260,468,373,3.485604625,0.719079595,31.06461688,-1.814040083,2.533119678,2.76652503,-0.08631012,29.2836072,-94.8182522,29.28386714,-94.81837173,2021,Not_at_edge,Y,T,10,N,135.5,1458.509861,3.485604625,11.43571071,10,N,0,-1.435710712,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
315,315,1221,403140,2965-0113-0008-000,105.862999,1222_29.284209_-94.8195578_0_177.48.jpg,o1w-7nZ6iA_4CuvnJPnNHw,1222,0.906738,108,494,301,4.071889781,1.312899732,15.3496269,-1.167511321,2.480411053,2.758990049,-0.189922635,29.284209,-94.8195578,29.28407429,-94.81952119,2020,Not_at_edge,Y,T,10,N,105.862999,1139.499838,4.071889781,13.35921844,10,N,0,-3.359218442,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
316,316,1222,403141,2965-0113-0007-000,103.1230011,1223_29.2841825_-94.8196568_0_147.91.jpg,ydz3vWKdt-s5XtsN5dn0Aw,1223,0.911133,553,479,284,4.200691941,1.462220433,15.02301882,-0.988975999,2.451196432,2.738471508,0.117727458,29.28418247,-94.81965675,29.28405998,-94.81959057,2020,Not_at_edge,Y,T,10,N,103.1230011,1110.006746,4.200691941,13.78179771,10,N,0,-3.781797707,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
317,317,1223,403142,2965-0113-0003-000,323.071991,1225_29.2841565_-94.8197554_0_193.46.jpg,un37mUW9HT9TI-c9h6nzgA,1225,0.359375,343,604,492,1.208239518,-1.53656248,25.9855032,-3.987511434,2.450948954,2.744801998,-0.028252546,29.2841565,-94.8197554,29.28392705,-94.81981027,2020,Not_at_edge,Y,T,10,Y,323.071991,3477.517969,1.208239518,3.964040413,10,Y,6.035959587,6.035959587,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,69644.14697,127026.6863,145167.7565,133445.2784,145666.1811,Y
318,318,1228,403147,2965-0113-0001-000,159.3300018,1229_29.2837201_-94.8201006_0_88.39.jpg,AeMvf_VGXmJpwoVljP427A,1229,0.925781,477,630,392,3.002231194,0.376213147,12.24926862,-2.098237441,2.474450588,2.626018047,0.064803214,29.2837201,-94.8201006,29.28371604,-94.81997463,2020,Not_at_edge,Y,T,10,Y,159.3300018,1715.013866,3.002231194,9.849839875,10,Y,0.150160125,0.150160125,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,29155.23572,53177.3759,60771.79984,55864.4009,60980.45611,Y
319,319,1229,403148,2965-0112-0022-002,143.9069977,1230_29.2837654_-94.8188671_0_72.94.jpg,v_neFvfVTXmVUiIngN01WA,1230,0.940918,599,528,280,3.956450988,1.272410203,11.86194341,-1.178711604,2.451121807,2.684040785,0.148913107,29.2837654,-94.8188671,29.28378127,-94.81874638,2020,Not_at_edge,Y,T,10,N,143.9069977,1549.002032,3.956450988,12.98048224,10,N,0,-2.980482244,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
320,320,1230,403149,2965-0112-0022-003,168.201004,1231_29.2835241_-94.8185526_0_311.98.jpg,ulL43F_DXjHH08igfOT10g,1231,0.330322,487,479,320,3.939260038,1.199036153,18.34458431,-1.225656955,2.424693108,2.740223885,0.072095709,29.2835241,-94.8185526,29.28364338,-94.81868348,2021,Not_at_edge,Y,T,10,N,168.201004,1810.500539,3.939260038,12.92408149,10,N,0,-2.92408149,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
321,321,1231,403150,2965-0100-0003-000,159.701004,1232_29.2838051_-94.8247307_0_178.21.jpg,YAYrF5eFdJRUYN580en9dA,1232,0.905762,429,445,256,4.132779557,1.701820809,15.40020718,-0.665923875,2.367744684,2.430958748,0.031390116,29.2838051,-94.8247307,29.28366616,-94.82473072,2020,Not_at_edge,Y,T,10,N,159.701004,1719.007301,4.132779557,13.55898805,10,N,0,-3.558988048,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
322,322,1246,403165,2965-0113-0023-000,117.802002,1247_29.283545_-94.8200426_0_73.55.jpg,ibqvWSu2LieMZr89nD2nGw,1247,0.94043,258,366,114,5.289009114,2.627131243,11.58901082,0.145,2.482131243,2.661877871,-0.087695063,29.283545,-94.8200426,29.28358328,-94.81993162,2020,Not_at_edge,Y,T,10,N,117.802002,1268.010196,5.289009114,17.35239211,10,N,0,-7.352392106,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
323,323,1250,403169,2965-0101-0019-000,337.2839966,1250_29.2832716_-94.8230999_0_335.24.jpg,gjphsN2XX88YvNr36wehow,1250,0.824707,560,455,387,2.810735574,0.200311055,43.10388071,-2.149407516,2.349718571,2.610424519,0.122198331,29.2832716,-94.8230999,29.28364195,-94.8232352,2019,Not_at_edge,Y,T,10,Y,337.2839966,3630.494724,2.810735574,9.221573406,10,Y,0.778426594,0.778426594,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,61718.41031,112570.6249,128647.1807,118258.7598,129088.8829,Y
324,324,1252,403171,2965-0101-0021-000,126.302002,1251_29.2832521_-94.8232017_0_313.96.jpg,dvrniqo5nQNTq2xc434Aeg,1251,0.853027,317,468,329,3.76328887,1.168679133,21.10350497,-1.235648736,2.404327869,2.594609737,-0.046021517,29.2832521,-94.8232017,29.28337782,-94.8233648,2019,Not_at_edge,Y,T,10,N,126.302002,1359.503435,3.76328887,12.34674826,10,N,0,-2.346748261,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
325,325,1266,403185,2965-0114-0017-000,133.3619995,1267_29.2830535_-94.8203537_0_330.31.jpg,6veyMeI7l_db6QNRoRy1MQ,1267,0.929688,353,492,333,3.818343108,1.059654658,18.30107264,-1.391631181,2.451285839,2.75868845,-0.021279456,29.2830535,-94.8203537,29.28319516,-94.82045044,2021,Not_at_edge,Y,T,10,N,133.3619995,1435.496616,3.818343108,12.5273724,10,N,0,-2.527372402,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
326,326,1267,403186,2965-0114-0019-000,155.5659943,1268_29.2830041_-94.8205533_0_328.52.jpg,yXGCj-asZWGhEq8ElOzaIA,1268,0.852051,560,448,318,4.173898662,1.445248569,22.54663158,-0.99938563,2.444634199,2.728650093,0.122198331,29.2830041,-94.8205533,29.28318923,-94.82064944,2021,Not_at_edge,Y,T,10,N,155.5659943,1674.498427,4.173898662,13.69389325,10,N,0,-3.693893248,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
327,327,1268,403187,2965-0114-0018-000,79.571701,1269_29.2830296_-94.8204541_0_329.15.jpg,Ngiq8Y3EHAtSBpG7SqXNsA,1269,0.65332,535,526,352,3.540388769,0.795108742,16.81217833,-1.656671816,2.451780558,2.745280027,0.104978317,29.2830296,-94.8204541,29.28316725,-94.82052677,2021,Not_at_edge,Y,T,10,N,79.571701,856.5026613,3.540388769,11.61544872,10,N,0,-1.615448717,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
328,328,1286,403205,2965-0116-0010-001,295.2460022,1287_29.283372_-94.8227192_0_161.69.jpg,CtzhtZgV-Hla6zdI1o5dhQ,1287,0.723145,276,558,352,3.327591042,0.732556204,14.16168721,-1.71466126,2.447217464,2.595034838,-0.074524695,29.283372,-94.8227192,29.28325403,-94.82266324,2019,Not_at_edge,Y,T,10,N,295.2460022,3178.001519,3.327591042,10.91729344,10,N,0,-0.917293445,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
329,329,1287,403206,2965-0116-0008-000,228.3560028,1288_29.283307_-94.8229187_0_177.21.jpg,iqs0_YycdorfM1Jm05IwFA,1288,0.361572,512,506,362,3.252359147,0.670194859,20.28325852,-1.733955627,2.404150486,2.582164288,0.0890802,29.283307,-94.8229187,29.28312415,-94.82292713,2019,Not_at_edge,Y,T,10,N,228.3560028,2458.003557,3.252359147,10.67046964,10,N,0,-0.670469642,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
330,330,1288,403207,2965-0116-0006-000,181.8119965,1289_29.2832716_-94.8230999_0_155.24.jpg,gjphsN2XX88YvNr36wehow,1289,0.924316,383,498,292,3.836744334,1.226319815,14.12238234,-1.123398756,2.349718571,2.610424519,-0.00069774,29.28327162,-94.82309989,29.28315596,-94.82303893,2019,Not_at_edge,Y,T,10,N,181.8119965,1957.008043,3.836744334,12.58774388,10,N,0,-2.587743878,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
331,331,1314,403233,2965-0117-0004-000,86.4001007,1314_29.282957_-94.8243073_0_193.98.jpg,DXdxieKx_b0NKUoypimeTg,1314,0.92041,554,460,313,3.885523905,1.340897192,19.93094423,-1.063330303,2.404227495,2.544626713,0.118759502,29.282957,-94.8243073,29.28278889,-94.82438008,2019,Not_at_edge,Y,T,10,N,86.4001007,930.0029439,3.885523905,12.74778184,10,N,0,-2.747781841,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
332,332,1324,403243,2965-0116-0013-001,172.1970062,1326_29.2824903_-94.8225235_0_14.26.jpg,9MJJw8rW7P1YDNKNjqxASw,1326,0.908203,373,453,317,4.038994413,1.419640642,21.23571625,-1.037224907,2.456865549,2.619353771,-0.007326672,29.2824903,-94.8225235,29.28267633,-94.82247122,2020,Not_at_edge,Y,T,10,N,172.1970062,1853.513149,4.038994413,13.25129401,10,N,0,-3.251294006,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
333,333,1327,403246,2965-0127-0005-000,169.5019989,1327_29.2830041_-94.8205533_0_193.52.jpg,yXGCj-asZWGhEq8ElOzaIA,1327,0.938965,441,511,334,3.705264754,0.976614661,16.44941138,-1.468019538,2.444634199,2.728650093,0.040101203,29.28300414,-94.82055326,29.28286135,-94.8205994,2021,Not_at_edge,Y,T,10,N,169.5019989,1824.504332,3.705264754,12.15638043,10,N,0,-2.156380427,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
334,334,1328,403247,2965-0127-0003-000,155.2890015,1329_29.28295_-94.8207591_0_178.43.jpg,g2jNMnbNyQneGADkXu1KOw,1329,0.297852,68,510,302,4.019678981,1.31793204,14.32152542,-1.229713052,2.547645092,2.701746941,-0.216694299,29.28295,-94.8207591,29.28282462,-94.82072348,2021,Not_at_edge,Y,T,10,N,155.2890015,1671.516901,4.019678981,13.18792317,10,N,0,-3.187923166,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
335,335,1334,403253,2965-0116-0021-000,295.8970032,1420_29.2820921_-94.8233355_0_43.25.jpg,ogLn60yKzWMo6bEG7WqeZg,1420,0.318359,76,413,358,3.80233918,1.238141401,54.09474397,-1.1072668,2.345408201,2.564197779,-0.211030523,29.2820921,-94.8233355,29.28250973,-94.82304746,2021,Not_at_edge,Y,T,10,N,295.8970032,3185.008835,3.80233918,12.47486608,10,N,0,-2.474866076,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
336,336,1345,403264,2965-0118-0008-000,95.8760986,1346_29.2826996_-94.8252896_0_149.26.jpg,8nQLLlwIucDUJVNtOIjM8Q,1346,0.549805,643,537,315,3.239289158,1.066830509,13.31685556,-1.39905823,2.465888739,2.172458649,0.178796424,29.2826996,-94.8252896,29.28258706,-94.82524162,2019,Not_at_edge,Y,T,10,N,95.8760986,1032.001736,3.239289158,10.6275891,10,N,0,-0.627589101,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
337,337,1354,403273,2965-0134-0009-002,140.5160065,1355_29.2825397_-94.8172208_0_252.89.jpg,NEWtbghKqcMtBhEIG7FFpg,1355,0.934082,267,477,338,3.809672329,1.036013338,21.15010749,-1.368042496,2.404055834,2.773658991,-0.080767081,29.28253972,-94.81722083,29.28246905,-94.81742301,2019,Not_at_edge,Y,T,10,N,140.5160065,1512.501706,3.809672329,12.49892496,10,N,0,-2.498924964,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
338,338,1357,403276,2965-0133-0023-002,99.5922012,1357_29.2823727_-94.8171625_0_57.48.jpg,hWawJWbjbOp_pWR0IXcI3w,1357,0.665527,140,344,128,5.601616031,2.78003872,13.66158881,0.37592352,2.4041152,2.821577311,-0.168303009,29.2823727,-94.8171625,29.28245543,-94.81705829,2019,Not_at_edge,Y,T,10,N,99.5922012,1072.001532,5.601616031,18.37800535,10,N,0,-8.378005351,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
339,339,1358,403277,2965-0117-0013-001,179.4429932,1359_29.2826385_-94.8235202_0_222.98.jpg,Zlt4BXBK3pyaohM7DGEhoQ,1359,0.516113,550,531,365,3.053243419,0.545400401,17.64321995,-1.809874992,2.355275393,2.507843018,0.115662615,29.2826385,-94.8235202,29.28253535,-94.82365848,2021,Not_at_edge,Y,T,10,N,179.4429932,1931.508304,3.053243419,10.01720282,10,N,0,-0.017202818,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
340,340,1359,403278,2965-0117-0015-000,76.8317032,1360_29.2821829_-94.8236522_0_328.39.jpg,s4pKFNeidOoGJniOd0vdmg,1360,0.589844,421,492,323,3.827371146,1.239801194,17.22030696,-1.309289668,2.549090862,2.587569952,0.026509505,29.2821829,-94.8236522,29.28231732,-94.82374105,2020,Not_at_edge,Y,T,10,N,76.8317032,827.0095704,3.827371146,12.55699195,10,N,0,-2.556991949,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
341,341,1369,403288,2965-0117-0017-000,172.8470001,1370_29.2821336_-94.8238459_0_328.42.jpg,IOyRUAe_KBq8Dui_YZVJXQ,1370,0.940918,458,501,334,3.63237549,1.029103529,17.4442413,-1.422217358,2.451320887,2.603271961,0.052285994,29.2821336,-94.8238459,29.2822718,-94.82393179,2020,Not_at_edge,Y,T,10,N,172.8470001,1860.509625,3.63237549,11.91724242,10,N,0,-1.917242421,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
342,342,1370,403289,2965-0117-0019-000,114.9690018,1371_29.282083_-94.8240438_0_358.62.jpg,QjH8cMpye2OZM6E2yaUcTQ,1371,0.868652,271,489,336,3.76815452,1.135503429,19.07290571,-1.406400067,2.541903496,2.632651091,-0.078339884,29.282083,-94.8240438,29.28225417,-94.82406387,2020,Not_at_edge,Y,T,10,N,114.9690018,1237.516036,3.76815452,12.36271168,10,N,0,-2.36271168,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
343,343,1387,403306,2965-0134-0005-100,152.177002,1388_29.2827016_-94.8180661_0_163.01.jpg,P3uwAubeF1-eP8mp-eaZHA,1388,0.918945,347,499,309,4.133594759,1.255757339,15.31671429,-1.228686802,2.484444141,2.87783742,-0.025812242,29.2827016,-94.8180661,29.28257053,-94.81801617,2021,Not_at_edge,Y,T,10,N,152.177002,1638.019617,4.133594759,13.5616626,10,N,0,-3.561662595,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
