,FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,construction_index_2015,construction_index_1998,rsmeans_construction_index_2015,rsmeans_construction_index_2021,ENR_BCI_index_2015,ENR_BCI_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998,cost_2015,cost_2021_RSMeans,cost_2021_ENR_BCI,cost_2021_PCI_Family_house,is_residential
13,13,525,402418,2965-0021-0006-000,83.1483002,15032_29.2899131_-94.8267128_0_148.36.jpg,FYp5ackIGaV7jMFUQJ4ZYg,15032,0.927734,173,481,310,3.345638766,1.278627886,17.09551187,-1.156628118,2.435256004,2.06701088,-0.145840986,29.2899131,-94.8267128,29.28979494,-94.82659972,2020,Not_at_edge,Y,T,11,Y,83.1483002,895.0008547,3.345638766,10.97650514,11,Y,0.023494862,0.023494862,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,15215.01453,27751.26069,31714.50323,29153.51738,31823.39305,Y
14,14,556,402455,2965-0022-0005-000,78.0848999,15132_29.2896201_-94.8278362_0_161.82.jpg,tw6Mfdqi_jS0g6N0SYq0Gw,15132,0.909668,607,490,322,3.285835299,1.170382771,17.52510897,-1.28083488,2.451217651,2.115452528,0.15436816,29.28962006,-94.82783617,29.28946404,-94.82780691,2020,Not_at_edge,Y,T,11,Y,78.0848999,840.4988674,3.285835299,10.78029954,11,Y,0.219700463,0.219700463,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,14288.48075,26061.31945,29783.2163,27378.18429,29885.47516,Y
15,15,560,402460,5580-0000-0076-000,41.6209984,15138_29.2893579_-94.8215441_0_43.09.jpg,kfizyTZ11KiXiAqrsNkKTQ,15138,0.308105,242,596,439,2.931956268,0.688042856,18.6194669,-2.754075073,3.442117929,2.243913412,-0.09807209,29.2893579,-94.8215441,29.28949122,-94.82142752,2013,Not_at_edge,Y,T,11,Y,41.6209984,448.0046982,2.931956268,9.619279094,11,Y,1.380720906,1.380720906,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,7616.07987,13891.26625,15875.12054,14593.18468,15929.6268,Y
16,16,584,402488,2965-0030-0016-001,126.8130035,15259_29.2888572_-94.8235196_0_328.24.jpg,NvlKPQwPsLg-AVK7YGcEUQ,15259,0.671387,589,471,377,3.728600652,1.523479135,31.26708385,-1.900417416,3.423896551,2.205121517,0.142765565,29.2888572,-94.8235196,29.28911574,-94.82364833,2013,Not_at_edge,Y,T,11,N,126.8130035,1365.003809,3.728600652,12.23294177,11,N,0,-1.232941772,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
17,17,586,402490,2965-0022-0015-000,194.4470062,15180_29.2888302_-94.8273063_0_358.72.jpg,Y1dZUIiqYgbwIJUD3_VKCA,15180,0.805176,650,583,424,2.883532735,0.899419161,18.49545453,-2.537502436,3.436921597,1.984113574,0.184196464,29.28883021,-94.82730628,29.28899489,-94.82727561,2017,Not_at_edge,Y,T,11,Y,194.4470062,2093.010156,2.883532735,9.460409236,11,Y,1.539590764,1.539590764,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,35581.17264,64897.89384,74166.16084,68177.15048,74420.80584,Y
18,18,589,402494,2965-0023-0006-000,181.904007,15190_29.2893578_-94.8288203_0_193.95.jpg,x72W7ABXSERh7occGUye9A,15190,0.878418,548,565,372,3.705507675,1.613383213,15.17200227,-1.914299807,3.52768302,2.092124462,0.113941155,29.2893578,-94.8288203,29.28922957,-94.82887493,2013,Not_at_edge,Y,T,11,N,181.904007,1957.998436,3.705507675,12.15717741,11,N,0,-1.157177411,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
19,19,593,402498,2965-0023-0001-000,380.6239929,15265_29.288833_-94.8293193_0_42.58.jpg,98Xu6JniRyxFmufI7HnEnQ,15265,0.740723,42,571,411,3.099275212,1.213809471,18.57560028,-2.37043788,3.584247351,1.885465741,-0.233930684,29.288833,-94.8293193,29.28897932,-94.8292261,2013,Not_at_edge,Y,T,11,Y,380.6239929,4097.002562,3.099275212,10.16822576,11,Y,0.831774239,0.831774239,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,69649.04355,127035.6174,145177.963,133454.6607,145676.4227,Y
20,20,596,402502,5580-0000-0089-000,47.5665016,15375_29.2886868_-94.8206157_0_342.81.jpg,dmyfFQB7QlFjR04M4ga1DQ,15375,0.316406,528,494,390,2.664608693,0.283368087,28.38786619,-2.167959475,2.451327562,2.381240606,0.100490186,29.28868682,-94.82061565,29.28893785,-94.82067356,2019,Not_at_edge,Y,T,11,Y,47.5665016,512.0015621,2.664608693,8.742154505,11,Y,2.257845495,2.257845495,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,8803.039527,16056.20844,18349.24475,16867.52026,18412.24577,Y
21,21,601,402507,2965-0022-0018-000,95.9681015,15225_29.288777_-94.8275061_0_357.71.jpg,71vRf_8UB9n9xNKTTP0ckA,15225,0.827637,223,571,360,3.546911563,1.55213746,13.94049445,-1.807666455,3.359803915,1.994774103,-0.111873979,29.28877703,-94.82750606,29.28890135,-94.82752776,2017,Not_at_edge,Y,T,11,N,95.9681015,1032.992047,3.546911563,11.63684896,11,N,0,-0.63684896,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
22,22,611,402517,2965-0030-0018-000,198.3029938,15310_29.2887835_-94.823804_0_12.10.jpg,sXaadBVe1KwNhJW6mmiTJg,15310,0.427246,76,567,375,3.729744063,1.483254777,15.49589381,-1.94541396,3.428668737,2.246489286,-0.211030523,29.2887835,-94.823804,29.2889233,-94.82380398,2013,Not_at_edge,Y,T,11,N,198.3029938,2134.515661,3.729744063,12.23669312,11,N,0,-1.23669312,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
