FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld
10,441,402326,7791-0016-0005-000,277.7349854,14524_29.291046_-94.8206281_0_15.30.jpg,1ahMyaeRrcaYJWFajtukAA,14524,0.934082000000000,549,494,354,2.838523086000000,0.785988744000000,20.917297080000001,-1.609494273000000,2.395483017000000,2.052534342000000,0.114629821000000,29.291046000000001,-94.820628099999993,29.291221140000001,-94.820547919999996,2020,Not_at_edge,Y,T,11.000000000000000,Y
11,465,402352,2965-0018-0009-000,109.4869995,14732_29.29089_-94.8230172_0_162.36.jpg,u383VH6beGVybe9QfVJG8w,14732,0.898926000000000,232,513,313,3.384539808000000,1.194521869000000,14.626544150000001,-1.319495713000000,2.514017582000000,2.190017939000000,-0.104978317000000,29.290890050000002,-94.823017170000000,29.290769180000002,-94.822956770000005,2019,Not_at_edge,Y,T,11.000000000000000,N
12,490,402380,2965-0018-0019-000,325.6740112,14796_29.2899946_-94.8228731_0_313.36.jpg,VJY07YNpKwAvEGA-SE6fSw,14796,0.416504000000000,529,541,368,3.572215516000000,1.564760167000000,16.806165419999999,-1.843335908000000,3.408096075000000,2.007455349000000,0.101526153000000,29.289994600000000,-94.822873079999994,29.290109340000001,-94.822986150000006,2017,Not_at_edge,Y,T,11.000000000000000,N
13,525,402418,2965-0021-0006-000,83.1483002,15032_29.2899131_-94.8267128_0_148.36.jpg,FYp5ackIGaV7jMFUQJ4ZYg,15032,0.927734000000000,173,481,310,3.345638766000000,1.278627886000000,17.095511869999999,-1.156628118000000,2.435256004000000,2.067010880000000,-0.145840986000000,29.289913100000000,-94.826712799999996,29.289794940000000,-94.826599720000004,2020,Not_at_edge,Y,T,11.000000000000000,Y
14,556,402455,2965-0022-0005-000,78.0848999,15132_29.2896201_-94.8278362_0_161.82.jpg,tw6Mfdqi_jS0g6N0SYq0Gw,15132,0.909668000000000,607,490,322,3.285835299000000,1.170382771000000,17.525108970000002,-1.280834880000000,2.451217651000000,2.115452528000000,0.154368160000000,29.289620060000001,-94.827836169999998,29.289464039999999,-94.827806910000007,2020,Not_at_edge,Y,T,11.000000000000000,Y
15,560,402460,5580-0000-0076-000,41.6209984,15138_29.2893579_-94.8215441_0_43.09.jpg,kfizyTZ11KiXiAqrsNkKTQ,15138,0.308105000000000,242,596,439,2.931956268000000,0.688042856000000,18.619466899999999,-2.754075073000000,3.442117929000000,2.243913412000000,-0.098072090000000,29.289357899999999,-94.821544099999997,29.289491219999999,-94.821427520000000,2013,Not_at_edge,Y,T,11.000000000000000,Y
16,584,402488,2965-0030-0016-001,126.8130035,15259_29.2888572_-94.8235196_0_328.24.jpg,NvlKPQwPsLg-AVK7YGcEUQ,15259,0.671387000000000,589,471,377,3.728600652000000,1.523479135000000,31.267083849999999,-1.900417416000000,3.423896551000000,2.205121517000000,0.142765565000000,29.288857199999999,-94.823519599999997,29.289115740000000,-94.823648329999997,2013,Not_at_edge,Y,T,11.000000000000000,N
17,586,402490,2965-0022-0015-000,194.4470062,15180_29.2888302_-94.8273063_0_358.72.jpg,Y1dZUIiqYgbwIJUD3_VKCA,15180,0.805176000000000,650,583,424,2.883532735000000,0.899419161000000,18.495454530000000,-2.537502436000000,3.436921597000000,1.984113574000000,0.184196464000000,29.288830210000000,-94.827306280000002,29.288994890000001,-94.827275610000001,2017,Not_at_edge,Y,T,11.000000000000000,Y
18,589,402494,2965-0023-0006-000,181.9040070,15190_29.2893578_-94.8288203_0_193.95.jpg,x72W7ABXSERh7occGUye9A,15190,0.878418000000000,548,565,372,3.705507675000000,1.613383213000000,15.172002270000000,-1.914299807000000,3.527683020000000,2.092124462000000,0.113941155000000,29.289357800000001,-94.828820300000004,29.289229570000000,-94.828874929999998,2013,Not_at_edge,Y,T,11.000000000000000,N
19,593,402498,2965-0023-0001-000,380.6239929,15265_29.288833_-94.8293193_0_42.58.jpg,98Xu6JniRyxFmufI7HnEnQ,15265,0.740723000000000,42,571,411,3.099275212000000,1.213809471000000,18.575600280000000,-2.370437880000000,3.584247351000000,1.885465741000000,-0.233930684000000,29.288833000000000,-94.829319299999995,29.288979319999999,-94.829226100000000,2013,Not_at_edge,Y,T,11.000000000000000,Y
