CENTROID COORDINATES:
centroid_num, x, y
0, 29.302, -94.785
1, 29.177, -94.984
2, 29.26, -94.877
3, 29.283, -94.825
4, 29.133, -95.056
5, 29.207, -94.936
6, 29.27, -94.843
7, 29.32, -94.767
8, 29.292, -94.806
