CENTROID COORDINATES:
centroid_num, x, y
0, 29.285, -94.823
1, 29.207, -94.936
2, 29.306, -94.78
3, 29.133, -95.056
4, 29.27, -94.843
5, 29.293, -94.802
6, 29.177, -94.984
7, 29.26, -94.877
