CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
29.277264, -94.844567, 2
29.278125, -94.836974, 2
29.306792, -94.78201, 0
29.30025, -94.80485, 0
29.199113, -94.943571, 3
29.199113, -94.943571, 3
29.279983, -94.878235, 2
29.237661, -94.882767, 2
29.304251, -94.786085, 0
29.304251, -94.786085, 0
29.305721, -94.777273, 0
29.305721, -94.777273, 0
29.288712, -94.87384, 2
29.297937, -94.802004, 0
29.300738, -94.796739, 0
29.296905, -94.801291, 0
29.280478, -94.826145, 2
29.300657, -94.784449, 0
29.300657, -94.784449, 0
29.260365, -94.84524, 2
29.286663, -94.802219, 0
29.270133, -94.838453, 2
29.294372, -94.811078, 0
29.279846, -94.833556, 2
29.254428, -94.85524, 2
29.298962, -94.78242, 0
29.298962, -94.78242, 0
29.297146, -94.808736, 0
29.295381, -94.811428, 0
29.30832, -94.783761, 0
29.307976, -94.775685, 0
29.281885, -94.827803, 2
29.182969, -94.973307, 3
29.295246, -94.783917, 0
29.29791, -94.786746, 0
29.310326, -94.784412, 0
29.274322, -94.837611, 2
29.304315, -94.777511, 0
29.276791, -94.830014, 2
29.180468, -94.9753, 3
29.181761, -94.976497, 3
29.308648, -94.780442, 0
29.308648, -94.780442, 0
29.292262, -94.797232, 0
29.287014, -94.818536, 2
29.287014, -94.818536, 2
29.294233, -94.810782, 0
29.290752, -94.790298, 0
29.319399, -94.77087, 0
29.11542, -95.078476, 1
29.291053, -94.81553, 2
29.274705, -94.837747, 2
29.273692, -94.836564, 2
29.284796, -94.803787, 0
29.310332, -94.784412, 0
29.281823, -94.868902, 2
29.262932, -94.867359, 2
29.146284, -95.04455, 1
29.283237, -94.820697, 2
29.278855, -94.83753, 2
29.260535, -94.844738, 2
29.265688, -94.870169, 2
29.26991, -94.840134, 2
29.26991, -94.840134, 2
29.27523, -94.827481, 2
29.294213, -94.806, 0
29.273122, -94.842291, 2
29.303839, -94.799366, 0
29.140783, -95.041669, 1
29.272635, -94.841564, 2
