CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
29.277264, -94.844567, 6
29.278125, -94.836974, 6
29.306792, -94.78201, 0
29.30025, -94.80485, 8
29.199113, -94.943571, 5
29.199113, -94.943571, 5
29.279983, -94.878235, 2
29.237661, -94.882767, 2
29.304251, -94.786085, 0
29.304251, -94.786085, 0
29.305721, -94.777273, 0
29.305721, -94.777273, 0
29.288712, -94.87384, 2
29.297937, -94.802004, 8
29.300738, -94.796739, 0
29.296905, -94.801291, 8
29.280478, -94.826145, 3
29.300657, -94.784449, 0
29.300657, -94.784449, 0
29.260365, -94.84524, 6
29.286663, -94.802219, 8
29.270133, -94.838453, 6
29.294372, -94.811078, 8
29.279846, -94.833556, 3
29.254428, -94.85524, 6
29.298962, -94.78242, 0
29.298962, -94.78242, 0
29.297146, -94.808736, 8
29.295381, -94.811428, 8
29.30832, -94.783761, 0
29.307976, -94.775685, 0
29.281885, -94.827803, 3
29.182969, -94.973307, 1
29.295246, -94.783917, 0
29.29791, -94.786746, 0
29.310326, -94.784412, 0
29.274322, -94.837611, 6
29.304315, -94.777511, 0
29.276791, -94.830014, 3
29.180468, -94.9753, 1
29.181761, -94.976497, 1
29.308648, -94.780442, 0
29.308648, -94.780442, 0
29.292262, -94.797232, 8
29.287014, -94.818536, 3
29.287014, -94.818536, 3
29.294233, -94.810782, 8
29.290752, -94.790298, 0
29.319399, -94.77087, 7
29.11542, -95.078476, 4
29.291053, -94.81553, 8
29.274705, -94.837747, 6
29.273692, -94.836564, 6
29.284796, -94.803787, 8
29.310332, -94.784412, 0
29.281823, -94.868902, 2
29.262932, -94.867359, 2
29.146284, -95.04455, 4
29.283237, -94.820697, 3
29.278855, -94.83753, 6
29.260535, -94.844738, 6
29.265688, -94.870169, 2
29.26991, -94.840134, 6
29.26991, -94.840134, 6
29.27523, -94.827481, 3
29.294213, -94.806, 8
29.273122, -94.842291, 6
29.303839, -94.799366, 8
29.140783, -95.041669, 4
29.272635, -94.841564, 6
29.27115, -94.87724, 2
29.27526, -94.827443, 3
29.276528, -94.841592, 6
29.305284, -94.79734, 0
29.274466, -94.826889, 3
29.278079, -94.83436, 3
29.272395, -94.839417, 6
29.266898, -94.84403, 6
29.295856, -94.809189, 8
29.255104, -94.870867, 2
29.27556, -94.835525, 6
29.304753, -94.786552, 0
29.244358, -94.876833, 2
29.274536, -94.834291, 6
29.179505, -94.977414, 1
29.300756, -94.787842, 0
29.298853, -94.79008, 0
29.265224, -94.87734, 2
29.28684, -94.840388, 3
29.17231, -94.989598, 1
29.25322, -94.86635, 2
29.320099, -94.771024, 7
29.255422, -94.874581, 2
29.274669, -94.829555, 3
29.216783, -94.914758, 5
29.300621, -94.782993, 0
29.300621, -94.782993, 0
29.277323, -94.837133, 6
29.297886, -94.806714, 8
29.279017, -94.837278, 6
29.302274, -94.776918, 0
29.261092, -94.847546, 6
29.314986, -94.775782, 7
29.275223, -94.827456, 3
29.139494, -95.043712, 4
29.278157, -94.837593, 6
29.307793, -94.78551, 0
29.275817, -94.839529, 6
29.27806, -94.836771, 6
29.296916, -94.784959, 0
29.174933, -94.985454, 1
29.302539, -94.781278, 0
29.27229, -94.876588, 2
29.2887, -94.799749, 8
29.2887, -94.799749, 8
29.270497, -94.840619, 6
29.308197, -94.784341, 0
29.271795, -94.880346, 2
29.115993, -95.07773, 4
