CENTROID COORDINATES:
centroid_num, x, y
0, 29.284, -94.825
1, 29.177, -94.984
2, 29.293, -94.803
3, 29.213, -94.929
4, 29.133, -95.056
5, 29.268, -94.851
6, 29.306, -94.78
