CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
29.277264, -94.844567, 5
29.278125, -94.836974, 0
29.306792, -94.78201, 6
29.30025, -94.80485, 2
29.199113, -94.943571, 3
29.199113, -94.943571, 3
29.279983, -94.878235, 5
29.237661, -94.882767, 5
29.304251, -94.786085, 6
29.304251, -94.786085, 6
29.305721, -94.777273, 6
29.305721, -94.777273, 6
29.288712, -94.87384, 5
29.297937, -94.802004, 2
29.300738, -94.796739, 2
29.296905, -94.801291, 2
29.280478, -94.826145, 0
29.300657, -94.784449, 6
29.300657, -94.784449, 6
29.260365, -94.84524, 5
29.286663, -94.802219, 2
29.270133, -94.838453, 5
29.294372, -94.811078, 2
29.279846, -94.833556, 0
29.254428, -94.85524, 5
29.298962, -94.78242, 6
29.298962, -94.78242, 6
29.297146, -94.808736, 2
29.295381, -94.811428, 2
29.30832, -94.783761, 6
29.307976, -94.775685, 6
29.281885, -94.827803, 0
29.182969, -94.973307, 1
29.295246, -94.783917, 6
29.29791, -94.786746, 6
29.310326, -94.784412, 6
29.274322, -94.837611, 5
29.304315, -94.777511, 6
29.276791, -94.830014, 0
29.180468, -94.9753, 1
29.181761, -94.976497, 1
29.308648, -94.780442, 6
29.308648, -94.780442, 6
29.292262, -94.797232, 2
29.287014, -94.818536, 0
29.287014, -94.818536, 0
29.294233, -94.810782, 2
29.290752, -94.790298, 2
29.319399, -94.77087, 6
29.11542, -95.078476, 4
29.291053, -94.81553, 0
29.274705, -94.837747, 5
29.273692, -94.836564, 5
29.284796, -94.803787, 2
29.310332, -94.784412, 6
29.281823, -94.868902, 5
29.262932, -94.867359, 5
29.146284, -95.04455, 4
29.283237, -94.820697, 0
29.278855, -94.83753, 0
29.260535, -94.844738, 5
29.265688, -94.870169, 5
29.26991, -94.840134, 5
29.26991, -94.840134, 5
29.27523, -94.827481, 0
29.294213, -94.806, 2
29.273122, -94.842291, 5
29.303839, -94.799366, 2
29.140783, -95.041669, 4
29.272635, -94.841564, 5
29.27115, -94.87724, 5
29.27526, -94.827443, 0
29.276528, -94.841592, 5
29.305284, -94.79734, 2
29.274466, -94.826889, 0
29.278079, -94.83436, 0
29.272395, -94.839417, 5
29.266898, -94.84403, 5
29.295856, -94.809189, 2
29.255104, -94.870867, 5
29.27556, -94.835525, 0
29.304753, -94.786552, 6
29.244358, -94.876833, 5
29.274536, -94.834291, 0
29.179505, -94.977414, 1
29.300756, -94.787842, 6
29.298853, -94.79008, 6
29.265224, -94.87734, 5
29.28684, -94.840388, 0
29.17231, -94.989598, 1
29.25322, -94.86635, 5
29.320099, -94.771024, 6
29.255422, -94.874581, 5
29.274669, -94.829555, 0
29.216783, -94.914758, 3
29.300621, -94.782993, 6
29.300621, -94.782993, 6
29.277323, -94.837133, 0
29.297886, -94.806714, 2
29.279017, -94.837278, 0
29.302274, -94.776918, 6
29.261092, -94.847546, 5
29.314986, -94.775782, 6
29.275223, -94.827456, 0
29.139494, -95.043712, 4
29.278157, -94.837593, 0
29.307793, -94.78551, 6
29.275817, -94.839529, 5
29.27806, -94.836771, 0
29.296916, -94.784959, 6
29.174933, -94.985454, 1
29.302539, -94.781278, 6
29.27229, -94.876588, 5
29.2887, -94.799749, 2
29.2887, -94.799749, 2
29.270497, -94.840619, 5
29.308197, -94.784341, 6
29.271795, -94.880346, 5
29.115993, -95.07773, 4
29.287244, -94.839672, 0
29.289921, -94.796297, 2
29.308872, -94.785181, 6
29.29284, -94.798758, 2
29.29284, -94.798758, 2
29.29284, -94.798758, 2
29.29284, -94.798758, 2
29.269832, -94.84216, 5
29.279219, -94.838696, 0
29.265009, -94.852125, 5
29.305835, -94.774975, 6
29.297702, -94.81189, 2
29.297702, -94.81189, 2
29.11541, -95.078459, 4
29.260784, -94.875028, 5
29.27626, -94.833505, 0
29.287248, -94.839671, 0
29.300623, -94.782976, 6
29.271814, -94.880366, 5
29.297442, -94.800177, 2
29.315536, -94.76881, 6
29.272303, -94.876601, 5
29.291379, -94.807524, 2
29.281103, -94.826451, 0
29.261039, -94.844933, 5
29.287317, -94.808738, 2
29.287317, -94.808738, 2
29.320148, -94.771969, 6
29.28458, -94.820644, 0
29.282215, -94.869832, 5
29.306591, -94.788935, 6
29.303707, -94.779677, 6
29.282295, -94.827753, 0
29.295056, -94.794998, 2
29.275659, -94.835165, 0
29.310841, -94.783335, 6
29.282223, -94.826347, 0
29.234499, -94.9003, 3
29.277593, -94.827361, 0
29.298388, -94.809079, 2
29.307355, -94.776258, 6
29.303207, -94.804245, 2
29.303207, -94.804245, 2
29.282263, -94.871238, 5
29.282084, -94.82558, 0
29.115966, -95.077719, 4
29.139159, -95.042788, 4
29.26501, -94.852151, 5
29.301343, -94.778871, 6
29.308076, -94.775745, 6
29.305166, -94.783393, 6
29.283378, -94.819648, 0
29.30299, -94.803458, 2
29.296924, -94.804911, 2
29.288744, -94.821251, 0
29.307242, -94.776823, 6
29.242807, -94.901835, 3
29.275092, -94.834564, 0
29.278211, -94.825912, 0
29.278211, -94.825912, 0
29.273437, -94.843182, 5
29.279055, -94.827084, 0
29.179097, -94.977776, 1
29.308684, -94.785984, 6
29.298503, -94.80637, 2
29.272285, -94.842973, 5
29.273535, -94.837498, 5
29.278455, -94.829912, 0
29.278455, -94.829912, 0
29.258944, -94.846645, 5
29.300647, -94.786873, 6
29.300647, -94.786873, 6
29.303101, -94.77585, 6
29.301392, -94.79983, 2
29.279982, -94.826607, 0
29.305494, -94.787443, 6
29.305494, -94.787442, 6
29.305494, -94.787443, 6
29.30604, -94.776231, 6
29.291415, -94.807627, 2
29.279221, -94.838694, 0
29.276507, -94.845643, 5
29.270318, -94.824193, 0
29.245174, -94.873628, 5
29.281756, -94.826759, 0
29.293941, -94.79063, 2
29.276917, -94.837267, 0
29.305427, -94.785741, 6
